name,zip, Commissionable Orders, Negative Comments, Positive Comments,% Kill Rate,Avg Basket Size €,Avg Time to Accept (s)
Pizza und Kebap Studio,8042,643.0,3.0,1.0,43.0,14.31,10.0
Pizzaria Azzurro,8010,115.0,0.0,1.0,135.0,20.76,51.0
Pizzeria Bulut,8055,67.0,0.0,1.0,108.0,20.04,13.0
Pizzeria Casa Roma,8010,918.0,9.0,1.0,86.0,17.21,15.0
Pizzeria Mama Rosa,8051,362.0,9.0,1.0,81.0,18.67,26.0
Pizzeria Nero & Kebap,8020,21.0,0.0,0.0,52.0,9.59,333.0
Pizzeria Pirates,8055,0.0,0.0,0.0,0.0,0.0,0.0
Pizzeria Pisa,8020,116.0,1.0,1.0,102.0,17.29,16.0
Pizzeria Ristorante Da Vinci Linz,8010,2180.0,10.0,1.0,47.0,21.52,13.0
Pizzeria Ristorante Zeppelin,8010,158.0,0.0,1.0,63.0,15.56,423.0
Pizzeria Verona Linz,8010,0.0,0.0,0.0,0.0,0.0,0.0
Pizzeria Violeta,8010,634.0,1.0,1.0,76.0,21.05,10.0
Posaune,8010,0.0,0.0,0.0,91.0,0.0,0.0
Prik Thai- Thai Street Food &Cooking Classes,8010,90.0,1.0,1.0,0.11,27.23,501.0
Propeller,8010,115.0,1.0,1.0,47.0,17.05,514.0
Pyramidana,8054,58.0,0.0,1.0,132.0,22.11,25.0
Ralf's Come In,8010,0.0,0.0,0.0,0.0,0.0,0.0
Reggae Haus,8010,157.0,4.0,1.0,0.0,19.24,21.0
Restaurant Castello,8054,0.0,0.0,0.0,0.0,0.0,0.0
Restaurant Demiri,8020,32.0,1.0,1.0,56.0,14.76,380.0
Restaurant Fino,8045,0.0,0.0,0.0,0.0,0.0,0.0
Restaurant Hendl-Eck,8010,474.0,1.0,1.0,36.0,21.49,347.0
Restaurant La Done,8020,67.0,1.0,1.0,0.0,22.08,31.0
Restaurant Pizzeria Venezia,8020,81.0,1.0,1.0,109.0,12.9,392.0
Restaurant Z10,8010,1859.0,7.0,1.0,0.06,23.99,14.0
Ristorante Pizzeria La Perla,8055,360.0,0.0,1.0,86.0,18.39,10.0
Ritterwirt Graz,8010,62.0,0.0,1.0,28.0,21.51,536.0
Road Burger - Pizza Taxi 2600,8053,835.0,4.0,1.0,51.0,28.07,24.0
Rosamunde,8010,395.0,5.0,2.0,168.0,32.44,46.0
Rosamunde,8041,67.0,0.0,1.0,86.0,19.6,21.0
Royal,8020,734.0,8.0,1.0,73.0,25.68,28.0
Royal Kebap,8020,0.0,0.0,0.0,0.0,0.0,0.0
SO/SO,8010,6.0,0.0,1.0,69.0,18.77,373.0
SPAR express,8010,0.0,0.0,0.0,0.0,0.0,0.0
Safran,8010,0.0,0.0,0.0,0.0,0.0,0.0
Salz & Pfeffer,8020,528.0,2.0,1.0,0.08,25.62,23.0
Santa Catharina,8010,3.0,0.0,0.0,134.0,19.05,513.0
Santa Lucia,8020,0.0,0.0,0.0,74.0,0.0,0.0
Schnitzel Stubn,8010,0.0,0.0,0.0,0.0,0.0,0.0
Score Eggenberg,8020,0.0,0.0,0.0,0.0,0.0,0.0
Shell - Shop und Bistro,8020,21.0,0.0,1.0,0.0,0.0,0.0
Shu,8020,252.0,2.0,1.0,77.0,22.08,17.0
