name,zip,kpi,month_1,month_2,delivery_service,orders
Onkel Donald Döner und Pizza,8020, Commissionable Orders,53.0,42.0,deliverando,95.0
Bar28,8010, Commissionable Orders,82.0,43.0,deliverando,125.0
China Restaurant - Spezielle Gerichte,8055, Commissionable Orders,24.0,24.0,deliverando,48.0
The Churchill Bar,8010, Commissionable Orders,0.0,0.0,deliverando,0.0
Der Eissalon,8052, Commissionable Orders,1.0,0.0,deliverando,1.0
Prik Thai- Thai Street Food &Cooking Classes,8010, Commissionable Orders,70.0,90.0,deliverando,160.0
Streets,8020, Commissionable Orders,0.0,0.0,deliverando,0.0
Food Choice,8010, Commissionable Orders,2.0,0.0,deliverando,2.0
Panda Asia,8010, Commissionable Orders,80.0,79.0,deliverando,159.0
Gasthaus Römerstuben,8041, Commissionable Orders,0.0,0.0,deliverando,0.0
OMV - VIVA Shop,8010, Commissionable Orders,67.0,62.0,deliverando,129.0
Sushi & Co,8010, Commissionable Orders,150.0,151.0,deliverando,301.0
MoMo's Ristorante,8051, Commissionable Orders,328.0,405.0,deliverando,733.0
Osaka -Japan Restaurant,8020, Commissionable Orders,94.0,129.0,deliverando,223.0
OMV - VIVA Shop,8054, Commissionable Orders,19.0,33.0,deliverando,52.0
Tonkin,8010, Commissionable Orders,30.0,3.0,deliverando,33.0
Barabar,8041, Commissionable Orders,0.0,0.0,deliverando,0.0
Gasthaus zum weißen Kreuz,8010, Commissionable Orders,24.0,18.0,deliverando,42.0
Ritterwirt Graz,8010, Commissionable Orders,36.0,62.0,deliverando,98.0
Koshari Time,8010, Commissionable Orders,94.0,71.0,deliverando,165.0
Gasthaus Reselstube,8020, Commissionable Orders,0.0,0.0,deliverando,0.0
Ella Pizza&Kebap,8020, Commissionable Orders,18.0,9.0,deliverando,27.0
Europa Kebap Pizza,8020, Commissionable Orders,43.0,36.0,deliverando,79.0
Arena Grill & Fast Food ,8041, Commissionable Orders,8.0,11.0,deliverando,19.0
Pizzeria Bulut,8055, Commissionable Orders,69.0,67.0,deliverando,136.0
Come a Casa,8054, Commissionable Orders,41.0,85.0,deliverando,126.0
Gasthof s'Reindl,8055, Commissionable Orders,17.0,4.0,deliverando,21.0
Momiji,8010, Commissionable Orders,80.0,88.0,deliverando,168.0
Loana CakeAway Graz,8010, Commissionable Orders,4.0,3.0,deliverando,7.0
Ossi´s Pizza & Burger,8045, Commissionable Orders,3.0,2.0,deliverando,5.0
Asman Restaurant,8055, Commissionable Orders,82.0,74.0,deliverando,156.0
Omoka Afrikanisches Restaurant,8020, Commissionable Orders,97.0,26.0,deliverando,123.0
DIE 3 F Sweet Point,8020, Commissionable Orders,33.0,156.0,deliverando,189.0
Comida,8055, Commissionable Orders,0.0,0.0,deliverando,0.0
Gebraten & Gebacken,8054, Commissionable Orders,3.0,0.0,deliverando,3.0
Molly Malone ,8010, Commissionable Orders,39.0,0.0,deliverando,39.0
Burgerista,8055, Commissionable Orders,111.0,40.0,deliverando,151.0
Aegaeis - Greek Grill,8020, Commissionable Orders,25.0,1.0,deliverando,26.0
